Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Month,Year
Sports Direct,1185732,2021-06-04,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,49.0,169,828.0,422.0,Online,2021-06-01,2021-01-01
Amazon,1185732,2021-12-02,Southeast,North Carolina,Charlotte,Men's Apparel,65.0,169,1099.0,538.0,Online,2021-12-01,2021-01-01
Amazon,1185732,2021-08-10,Midwest,Ohio,Columbus,Women's Apparel,54.0,169,913.0,557.0,Online,2021-08-01,2021-01-01
Amazon,1185732,2021-11-10,Midwest,Ohio,Columbus,Men's Street Footwear,34.0,169,575.0,299.0,Online,2021-11-01,2021-01-01
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Men's Street Footwear,23.0,169,389.0,210.0,Online,2021-04-01,2021-01-01
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Women's Apparel,53.0,169,896.0,582.0,Online,2021-08-01,2021-01-01
West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Men's Street Footwear,24.0,169,406.0,211.0,Online,2021-02-01,2021-01-01
Kohl's,1197831,2021-12-19,South,Oklahoma,Oklahoma City,Men's Street Footwear,64.0,169,1082.0,595.0,Online,2021-12-01,2021-01-01
Amazon,1185732,2021-06-19,Northeast,New Hampshire,Manchester,Men's Street Footwear,59.0,169,997.0,528.0,Online,2021-06-01,2021-01-01
Foot Locker,1185732,2021-12-17,Northeast,New Hampshire,Manchester,Men's Street Footwear,71.0,169,1200.0,660.0,Online,2021-12-01,2021-01-01
Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,42.0,168,706.0,282.0,Online,2020-08-01,2020-01-01
Walmart,1197831,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,45.0,168,756.0,438.0,Online,2020-09-01,2020-01-01
West Gear,1128299,2020-05-03,West,Colorado,Denver,Men's Athletic Footwear,69.0,168,1159.0,417.0,Online,2020-05-01,2020-01-01
Walmart,1128299,2021-11-10,West,Hawaii,Honolulu,Men's Athletic Footwear,56.0,168,941.0,301.0,Online,2021-11-01,2021-01-01
West Gear,1185732,2021-07-08,Northeast,New York,Albany,Men's Apparel,62.0,168,1042.0,479.0,Online,2021-07-01,2021-01-01
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Women's Street Footwear,29.0,168,487.0,234.0,Online,2021-01-01,2021-01-01
Kohl's,1185732,2021-06-12,West,Wyoming,Cheyenne,Men's Athletic Footwear,42.0,168,706.0,289.0,Online,2021-06-01,2021-01-01
Kohl's,1185732,2021-12-10,West,Wyoming,Cheyenne,Men's Athletic Footwear,44.0,168,739.0,303.0,Online,2021-12-01,2021-01-01
Foot Locker,1185732,2021-12-15,Midwest,Michigan,Detroit,Women's Street Footwear,48.0,168,806.0,363.0,Online,2021-12-01,2021-01-01
Foot Locker,1185732,2021-06-18,Midwest,Missouri,St. Louis,Men's Street Footwear,32.0,168,538.0,290.0,Online,2021-06-01,2021-01-01
West Gear,1185732,2021-03-10,West,Utah,Salt Lake City,Men's Street Footwear,29.0,168,487.0,253.0,Online,2021-03-01,2021-01-01
West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,Women's Athletic Footwear,86.0,168,1445.0,780.0,Online,2021-07-01,2021-01-01
Amazon,1185732,2021-07-21,Southeast,Kentucky,Louisville,Men's Street Footwear,47.0,168,790.0,434.0,Online,2021-07-01,2021-01-01
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Men's Athletic Footwear,50.0,168,840.0,403.0,Online,2021-08-01,2021-01-01
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Men's Street Footwear,62.0,168,1042.0,490.0,Online,2021-12-01,2021-01-01
Amazon,1185732,2021-12-10,Northeast,Vermont,Burlington,Men's Street Footwear,64.0,168,1075.0,645.0,Online,2021-12-01,2021-01-01
Sports Direct,1197831,2021-10-20,South,Texas,Dallas,Men's Apparel,47.0,168,790.0,292.0,Outlet,2021-10-01,2021-01-01
Foot Locker,1128299,2021-05-25,Southeast,Virginia,Richmond,Women's Apparel,44.0,168,739.0,259.0,Outlet,2021-05-01,2021-01-01
West Gear,1128299,2021-04-17,South,Louisiana,New Orleans,Men's Street Footwear,38.0,168,638.0,300.0,Outlet,2021-04-01,2021-01-01
Foot Locker,1128299,2021-12-16,South,Louisiana,New Orleans,Men's Apparel,55.0,168,924.0,444.0,Outlet,2021-12-01,2021-01-01
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Women's Street Footwear,37.0,168,622.0,261.0,Outlet,2021-07-01,2021-01-01
Sports Direct,1185732,2021-11-17,South,Mississippi,Jackson,Women's Apparel,51.0,168,857.0,488.0,Outlet,2021-11-01,2021-01-01
Amazon,1185732,2021-04-11,Northeast,Vermont,Burlington,Men's Street Footwear,30.0,168,504.0,262.0,Outlet,2021-04-01,2021-01-01
Sports Direct,1197831,2021-09-20,South,Texas,Dallas,Men's Apparel,47.0,167,785.0,361.0,Online,2021-09-01,2021-01-01
West Gear,1128299,2020-06-07,West,Washington,Seattle,Men's Street Footwear,46.0,167,768.0,346.0,Online,2020-06-01,2020-01-01
Kohl's,1189833,2021-02-26,Midwest,Montana,Billings,Men's Street Footwear,38.0,167,635.0,374.0,Online,2021-02-01,2021-01-01
Kohl's,1185732,2021-11-11,West,Wyoming,Cheyenne,Men's Athletic Footwear,42.0,167,701.0,302.0,Online,2021-11-01,2021-01-01
Sports Direct,1185732,2021-06-17,Midwest,Michigan,Detroit,Men's Athletic Footwear,46.0,167,768.0,415.0,Online,2021-06-01,2021-01-01
Sports Direct,1185732,2021-10-17,Midwest,Michigan,Detroit,Men's Athletic Footwear,37.0,167,618.0,315.0,Online,2021-10-01,2021-01-01
West Gear,1128299,2021-05-18,South,Louisiana,New Orleans,Women's Apparel,59.0,167,985.0,443.0,Online,2021-05-01,2021-01-01
West Gear,1197831,2021-05-05,West,Idaho,Boise,Women's Street Footwear,23.0,167,384.0,181.0,Online,2021-05-01,2021-01-01
Sports Direct,1197831,2021-10-04,West,Idaho,Boise,Men's Street Footwear,36.0,167,601.0,307.0,Online,2021-10-01,2021-01-01
Foot Locker,1128299,2021-09-24,West,Arizona,Phoenix,Men's Street Footwear,41.0,167,685.0,336.0,Online,2021-09-01,2021-01-01
Sports Direct,1185732,2021-11-03,Southeast,North Carolina,Charlotte,Women's Street Footwear,38.0,167,635.0,343.0,Online,2021-11-01,2021-01-01
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Women's Street Footwear,24.0,167,401.0,216.0,Online,2021-01-01,2021-01-01
Amazon,1185732,2021-11-10,Midwest,Ohio,Columbus,Women's Apparel,74.0,167,1236.0,791.0,Online,2021-11-01,2021-01-01
Amazon,1185732,2021-08-22,Southeast,Kentucky,Louisville,Men's Street Footwear,46.0,167,768.0,415.0,Online,2021-08-01,2021-01-01
West Gear,1197831,2021-01-23,South,Arkansas,Little Rock,Men's Street Footwear,24.0,167,401.0,212.0,Online,2021-01-01,2021-01-01
West Gear,1197831,2021-05-19,South,Oklahoma,Oklahoma City,Men's Street Footwear,36.0,167,601.0,325.0,Online,2021-05-01,2021-01-01
Foot Locker,1185732,2021-07-06,Northeast,Rhode Island,Providence,Men's Street Footwear,46.0,167,768.0,346.0,Online,2021-07-01,2021-01-01
Amazon,1185732,2021-02-12,Northeast,Massachusetts,Boston,Men's Street Footwear,41.0,167,685.0,383.0,Online,2021-02-01,2021-01-01
Foot Locker,1185732,2021-10-28,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,32.0,166,531.0,319.0,Outlet,2021-10-01,2021-01-01
West Gear,1128299,2020-01-07,West,Nevada,Las Vegas,Women's Apparel,36.0,166,598.0,143.0,Outlet,2020-01-01,2020-01-01
West Gear,1128299,2020-03-11,West,Nevada,Las Vegas,Women's Street Footwear,47.0,166,780.0,328.0,Outlet,2020-03-01,2020-01-01
West Gear,1128299,2020-03-12,West,Nevada,Las Vegas,Women's Athletic Footwear,40.0,166,664.0,239.0,Outlet,2020-03-01,2020-01-01
Sports Direct,1197831,2021-03-24,South,Tennessee,Knoxville,Women's Street Footwear,22.0,166,365.0,157.0,Outlet,2021-03-01,2021-01-01
Sports Direct,1197831,2021-09-26,South,Alabama,Birmingham,Women's Street Footwear,24.0,166,398.0,215.0,Outlet,2021-09-01,2021-01-01
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Men's Apparel,63.0,166,1046.0,251.0,Outlet,2021-08-01,2021-01-01
West Gear,1128299,2021-04-24,West,Oregon,Portland,Men's Street Footwear,44.0,166,730.0,285.0,Outlet,2021-04-01,2021-01-01
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Women's Athletic Footwear,26.0,166,432.0,181.0,Outlet,2021-01-01,2021-01-01
Sports Direct,1197831,2021-08-08,West,Idaho,Boise,Men's Apparel,39.0,166,647.0,272.0,Outlet,2021-08-01,2021-01-01
Kohl's,1128299,2021-01-26,West,Arizona,Phoenix,Women's Apparel,36.0,166,598.0,161.0,Outlet,2021-01-01,2021-01-01
West Gear,1197831,2021-08-20,South,Oklahoma,Oklahoma City,Women's Apparel,40.0,166,664.0,312.0,Outlet,2021-08-01,2021-01-01
Kohl's,1197831,2021-11-20,South,Oklahoma,Oklahoma City,Men's Street Footwear,16.0,166,266.0,117.0,Outlet,2021-11-01,2021-01-01
West Gear,1128299,2020-02-02,West,Nevada,Las Vegas,Men's Athletic Footwear,62.0,165,1023.0,419.0,Online,2020-02-01,2020-01-01
West Gear,1128299,2020-02-03,West,Nevada,Las Vegas,Women's Street Footwear,62.0,165,1023.0,604.0,Online,2020-02-01,2020-01-01
West Gear,1128299,2020-02-26,West,Nevada,Las Vegas,Men's Athletic Footwear,59.0,165,974.0,341.0,Online,2020-02-01,2020-01-01
West Gear,1128299,2020-03-27,West,Colorado,Denver,Men's Street Footwear,37.0,165,611.0,293.0,Online,2020-03-01,2020-01-01
West Gear,1128299,2020-06-19,West,Washington,Seattle,Men's Street Footwear,55.0,165,908.0,372.0,Online,2020-06-01,2020-01-01
Kohl's,1189833,2021-01-29,Midwest,Montana,Billings,Women's Street Footwear,44.0,165,726.0,399.0,Online,2021-01-01,2021-01-01
Sports Direct,1197831,2021-04-19,South,Tennessee,Knoxville,Men's Apparel,43.0,165,710.0,376.0,Online,2021-04-01,2021-01-01
Foot Locker,1185732,2021-06-26,Midwest,Nebraska,Omaha,Men's Street Footwear,43.0,165,710.0,362.0,Online,2021-06-01,2021-01-01
West Gear,1185732,2021-01-12,Southeast,Florida,Orlando,Men's Apparel,51.0,165,842.0,379.0,Online,2021-01-01,2021-01-01
West Gear,1185732,2021-03-08,Northeast,New York,Albany,Men's Athletic Footwear,44.0,165,726.0,334.0,Online,2021-03-01,2021-01-01
Kohl's,1185732,2021-03-10,West,Wyoming,Cheyenne,Women's Apparel,37.0,165,611.0,226.0,Online,2021-03-01,2021-01-01
Foot Locker,1185732,2021-12-10,West,Wyoming,Cheyenne,Women's Street Footwear,44.0,165,726.0,334.0,Online,2021-12-01,2021-01-01
West Gear,1128299,2021-07-23,West,Oregon,Portland,Women's Athletic Footwear,82.0,165,1353.0,649.0,Online,2021-07-01,2021-01-01
West Gear,1128299,2021-12-23,West,Oregon,Portland,Women's Street Footwear,67.0,165,1106.0,497.0,Online,2021-12-01,2021-01-01
Kohl's,1128299,2021-03-25,West,New Mexico,Albuquerque,Men's Street Footwear,44.0,165,726.0,363.0,Online,2021-03-01,2021-01-01
Kohl's,1128299,2021-10-26,West,New Mexico,Albuquerque,Men's Street Footwear,48.0,165,792.0,396.0,Online,2021-10-01,2021-01-01
Kohl's,1197831,2021-09-12,Midwest,Kansas,Wichita,Men's Street Footwear,47.0,165,776.0,388.0,Online,2021-09-01,2021-01-01
West Gear,1185732,2021-03-16,Northeast,West Virginia,Charleston,Men's Street Footwear,28.0,165,462.0,236.0,Online,2021-03-01,2021-01-01
Amazon,1185732,2021-03-17,Northeast,New Hampshire,Manchester,Men's Street Footwear,49.0,165,809.0,404.0,Online,2021-03-01,2021-01-01
West Gear,1128299,2020-11-11,West,California,San Francisco,Men's Apparel,42.0,165,693.0,395.0,Outlet,2020-11-01,2020-01-01
Kohl's,1189833,2021-04-23,West,California,Los Angeles,Men's Apparel,39.0,165,644.0,386.0,Outlet,2021-04-01,2021-01-01
Sports Direct,1197831,2021-08-24,South,Alabama,Birmingham,Women's Apparel,14.0,165,231.0,155.0,Outlet,2021-08-01,2021-01-01
Sports Direct,1197831,2021-08-28,South,Alabama,Birmingham,Women's Athletic Footwear,26.0,165,429.0,262.0,Outlet,2021-08-01,2021-01-01
Sports Direct,1197831,2021-09-04,South,Alabama,Birmingham,Men's Apparel,38.0,165,627.0,295.0,Outlet,2021-09-01,2021-01-01
West Gear,1185732,2021-02-10,Southeast,Florida,Orlando,Men's Athletic Footwear,31.0,165,512.0,210.0,Outlet,2021-02-01,2021-01-01
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Women's Street Footwear,53.0,165,875.0,350.0,Outlet,2021-12-01,2021-01-01
West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Men's Street Footwear,22.0,165,363.0,156.0,Outlet,2021-11-01,2021-01-01
West Gear,1128299,2021-11-24,West,Oregon,Portland,Women's Apparel,53.0,165,875.0,324.0,Outlet,2021-11-01,2021-01-01
West Gear,1128299,2021-12-23,West,Oregon,Portland,Women's Athletic Footwear,53.0,165,875.0,341.0,Outlet,2021-12-01,2021-01-01
Kohl's,1128299,2021-04-26,West,New Mexico,Albuquerque,Men's Street Footwear,41.0,165,677.0,284.0,Outlet,2021-04-01,2021-01-01
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Men's Athletic Footwear,17.0,165,281.0,104.0,Outlet,2021-10-01,2021-01-01
Walmart,1197831,2021-06-21,South,Arkansas,Little Rock,Women's Apparel,48.0,165,792.0,341.0,Outlet,2021-06-01,2021-01-01
Foot Locker,1185732,2021-01-24,Northeast,New Hampshire,Manchester,Men's Street Footwear,36.0,165,594.0,220.0,Outlet,2021-01-01,2021-01-01
West Gear,1185732,2021-05-11,Midwest,Indiana,Indianapolis,Men's Street Footwear,54.0,164,886.0,443.0,Online,2021-05-01,2021-01-01
Sports Direct,1197831,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,36.0,163,587.0,346.0,Online,2020-08-01,2020-01-01
West Gear,1128299,2021-02-09,West,California,San Francisco,Men's Apparel,63.0,163,1027.0,585.0,Online,2021-02-01,2021-01-01
Kohl's,1189833,2021-04-15,West,California,Los Angeles,Women's Street Footwear,45.0,163,734.0,381.0,Online,2021-04-01,2021-01-01
Kohl's,1189833,2021-05-11,West,California,Los Angeles,Men's Apparel,58.0,163,945.0,633.0,Online,2021-05-01,2021-01-01
Sports Direct,1197831,2021-08-18,South,Texas,Dallas,Men's Athletic Footwear,32.0,163,522.0,209.0,Online,2021-08-01,2021-01-01
West Gear,1128299,2020-06-27,West,Washington,Seattle,Women's Street Footwear,72.0,163,1174.0,446.0,Online,2020-06-01,2020-01-01
West Gear,1128299,2020-07-09,West,Washington,Seattle,Women's Street Footwear,73.0,163,1190.0,416.0,Online,2020-07-01,2020-01-01
Sports Direct,1197831,2021-03-23,South,Tennessee,Knoxville,Men's Athletic Footwear,37.0,163,603.0,314.0,Online,2021-03-01,2021-01-01
Sports Direct,1197831,2021-05-02,South,Tennessee,Knoxville,Women's Apparel,42.0,163,685.0,507.0,Online,2021-05-01,2021-01-01
Sports Direct,1197831,2021-08-13,South,Alabama,Birmingham,Men's Street Footwear,28.0,163,456.0,251.0,Online,2021-08-01,2021-01-01
Amazon,1185732,2021-08-21,West,Alaska,Anchorage,Men's Street Footwear,59.0,163,962.0,433.0,Online,2021-08-01,2021-01-01
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Women's Apparel,101.0,163,1646.0,938.0,Online,2021-07-01,2021-01-01
West Gear,1185732,2021-09-08,Northeast,New York,Albany,Men's Athletic Footwear,48.0,163,782.0,352.0,Online,2021-09-01,2021-01-01
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Women's Street Footwear,52.0,163,848.0,331.0,Online,2021-12-01,2021-01-01
Kohl's,1185732,2021-06-12,West,Wyoming,Cheyenne,Women's Apparel,50.0,163,815.0,302.0,Online,2021-06-01,2021-01-01
Kohl's,1185732,2021-07-10,West,Wyoming,Cheyenne,Men's Athletic Footwear,44.0,163,717.0,308.0,Online,2021-07-01,2021-01-01
Kohl's,1185732,2021-08-11,West,Wyoming,Cheyenne,Men's Athletic Footwear,43.0,163,701.0,287.0,Online,2021-08-01,2021-01-01
Foot Locker,1185732,2021-12-15,Midwest,Michigan,Detroit,Women's Apparel,59.0,163,962.0,625.0,Online,2021-12-01,2021-01-01
Foot Locker,1185732,2021-12-17,Midwest,Missouri,St. Louis,Men's Street Footwear,41.0,163,668.0,348.0,Online,2021-12-01,2021-01-01
West Gear,1128299,2021-07-23,West,Oregon,Portland,Women's Street Footwear,86.0,163,1402.0,659.0,Online,2021-07-01,2021-01-01
Foot Locker,1197831,2021-02-04,South,Louisiana,New Orleans,Men's Street Footwear,23.0,163,375.0,150.0,Online,2021-02-01,2021-01-01
Sports Direct,1197831,2021-11-05,West,Idaho,Boise,Women's Apparel,63.0,163,1027.0,688.0,Online,2021-11-01,2021-01-01
Foot Locker,1128299,2021-08-23,West,Arizona,Phoenix,Men's Street Footwear,50.0,163,815.0,408.0,Online,2021-08-01,2021-01-01
Kohl's,1128299,2021-09-27,West,New Mexico,Albuquerque,Men's Street Footwear,49.0,163,799.0,359.0,Online,2021-09-01,2021-01-01
Sports Direct,1185732,2021-06-04,Southeast,North Carolina,Charlotte,Men's Apparel,61.0,163,994.0,487.0,Online,2021-06-01,2021-01-01
Sports Direct,1185732,2021-11-03,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,55.0,163,897.0,457.0,Online,2021-11-01,2021-01-01
Sports Direct,1185732,2021-11-03,Southeast,North Carolina,Charlotte,Men's Apparel,72.0,163,1174.0,575.0,Online,2021-11-01,2021-01-01
Sports Direct,1185732,2021-11-17,South,Mississippi,Jackson,Men's Street Footwear,28.0,163,456.0,246.0,Online,2021-11-01,2021-01-01
Foot Locker,1185732,2021-08-14,Northeast,Delaware,Wilmington,Men's Street Footwear,50.0,163,815.0,399.0,Online,2021-08-01,2021-01-01
Sports Direct,1185732,2021-08-04,Northeast,Connecticut,Hartford,Men's Street Footwear,51.0,163,831.0,457.0,Online,2021-08-01,2021-01-01
Amazon,1185732,2021-06-12,Northeast,Vermont,Burlington,Men's Street Footwear,58.0,163,945.0,548.0,Online,2021-06-01,2021-01-01
Sports Direct,1197831,2021-08-16,South,Texas,Dallas,Women's Apparel,24.0,163,391.0,188.0,Outlet,2021-08-01,2021-01-01
Sports Direct,1197831,2021-05-05,South,Tennessee,Knoxville,Women's Street Footwear,27.0,163,440.0,211.0,Outlet,2021-05-01,2021-01-01
Foot Locker,1128299,2021-07-22,West,Arizona,Phoenix,Men's Athletic Footwear,40.0,163,652.0,300.0,Outlet,2021-07-01,2021-01-01
Foot Locker,1128299,2021-11-23,West,Arizona,Phoenix,Men's Athletic Footwear,38.0,163,619.0,291.0,Outlet,2021-11-01,2021-01-01
Kohl's,1128299,2021-08-26,West,New Mexico,Albuquerque,Women's Street Footwear,46.0,163,750.0,300.0,Outlet,2021-08-01,2021-01-01
Sports Direct,1128299,2021-03-12,Southeast,Georgia,Atlanta,Men's Street Footwear,30.0,163,489.0,210.0,Outlet,2021-03-01,2021-01-01
Sports Direct,1128299,2021-06-13,Southeast,Georgia,Atlanta,Men's Athletic Footwear,41.0,163,668.0,294.0,Outlet,2021-06-01,2021-01-01
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Men's Athletic Footwear,36.0,163,587.0,217.0,Outlet,2021-07-01,2021-01-01
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Men's Athletic Footwear,42.0,163,685.0,267.0,Outlet,2021-08-01,2021-01-01
West Gear,1197831,2021-07-19,South,Oklahoma,Oklahoma City,Women's Apparel,45.0,163,734.0,345.0,Outlet,2021-07-01,2021-01-01
Amazon,1185732,2021-07-17,Northeast,New Hampshire,Manchester,Women's Apparel,47.0,163,766.0,306.0,Outlet,2021-07-01,2021-01-01
West Gear,1128299,2020-02-20,West,Nevada,Las Vegas,Men's Athletic Footwear,61.0,162,988.0,336.0,Online,2020-02-01,2020-01-01
West Gear,1128299,2020-05-02,West,Colorado,Denver,Men's Street Footwear,59.0,162,956.0,507.0,Online,2020-05-01,2020-01-01
West Gear,1128299,2020-07-25,West,Washington,Seattle,Men's Street Footwear,54.0,162,875.0,385.0,Online,2020-07-01,2020-01-01
Foot Locker,1128299,2021-08-10,West,Hawaii,Honolulu,Women's Street Footwear,64.0,162,1037.0,404.0,Online,2021-08-01,2021-01-01
Walmart,1128299,2021-11-17,Southeast,Florida,Orlando,Women's Apparel,86.0,162,1393.0,822.0,Online,2021-11-01,2021-01-01
West Gear,1185732,2021-11-09,Northeast,New York,Albany,Men's Athletic Footwear,49.0,162,794.0,389.0,Online,2021-11-01,2021-01-01
Foot Locker,1128299,2021-07-23,Southeast,Virginia,Richmond,Men's Apparel,85.0,162,1377.0,757.0,Online,2021-07-01,2021-01-01
Foot Locker,1128299,2021-12-16,South,Louisiana,New Orleans,Women's Street Footwear,69.0,162,1118.0,581.0,Online,2021-12-01,2021-01-01
Kohl's,1128299,2021-06-26,West,New Mexico,Albuquerque,Women's Apparel,74.0,162,1199.0,432.0,Online,2021-06-01,2021-01-01
Kohl's,1197831,2021-02-14,South,Oklahoma,Oklahoma City,Men's Street Footwear,23.0,162,373.0,175.0,Online,2021-02-01,2021-01-01
Sports Direct,1197831,2021-10-14,South,Texas,Dallas,Men's Apparel,46.0,162,745.0,291.0,Outlet,2021-10-01,2021-01-01
Foot Locker,1185732,2021-12-09,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,46.0,162,745.0,388.0,Outlet,2021-12-01,2021-01-01
West Gear,1128299,2020-03-08,West,Nevada,Las Vegas,Women's Apparel,51.0,162,826.0,174.0,Outlet,2020-03-01,2020-01-01
Sports Direct,1197831,2021-04-24,South,Tennessee,Knoxville,Women's Athletic Footwear,32.0,162,518.0,306.0,Outlet,2021-04-01,2021-01-01
Foot Locker,1128299,2021-03-23,Southeast,Virginia,Richmond,Men's Street Footwear,30.0,162,486.0,185.0,Outlet,2021-03-01,2021-01-01
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Women's Street Footwear,21.0,162,340.0,126.0,Outlet,2021-01-01,2021-01-01
West Gear,1197831,2021-04-05,West,Idaho,Boise,Women's Street Footwear,19.0,162,308.0,114.0,Outlet,2021-04-01,2021-01-01
Foot Locker,1197831,2021-08-08,West,Idaho,Boise,Women's Athletic Footwear,33.0,162,535.0,294.0,Outlet,2021-08-01,2021-01-01
Foot Locker,1128299,2021-02-23,West,Idaho,Boise,Men's Street Footwear,21.0,162,340.0,126.0,Outlet,2021-02-01,2021-01-01
Kohl's,1128299,2021-08-26,West,New Mexico,Albuquerque,Men's Apparel,48.0,162,778.0,264.0,Outlet,2021-08-01,2021-01-01
Sports Direct,1128299,2021-07-12,Southeast,Georgia,Atlanta,Men's Apparel,39.0,162,632.0,240.0,Outlet,2021-07-01,2021-01-01
Sports Direct,1185732,2021-10-18,South,Mississippi,Jackson,Women's Apparel,27.0,162,437.0,236.0,Outlet,2021-10-01,2021-01-01
Foot Locker,1185732,2021-02-08,Northeast,Connecticut,Hartford,Men's Street Footwear,24.0,162,389.0,156.0,Outlet,2021-02-01,2021-01-01
Amazon,1185732,2021-06-19,Northeast,New Hampshire,Manchester,Women's Apparel,50.0,162,810.0,340.0,Outlet,2021-06-01,2021-01-01
Foot Locker,1185732,2021-10-19,Northeast,New Hampshire,Manchester,Men's Street Footwear,52.0,162,842.0,354.0,Outlet,2021-10-01,2021-01-01
West Gear,1128299,2020-11-05,West,California,San Francisco,Men's Apparel,51.0,161,821.0,517.0,Online,2020-11-01,2020-01-01
Foot Locker,1185732,2021-07-06,Midwest,Illinois,Chicago,Men's Street Footwear,47.0,161,757.0,393.0,Online,2021-07-01,2021-01-01
Sports Direct,1197831,2021-10-09,South,Texas,Dallas,Women's Apparel,45.0,161,725.0,507.0,Online,2021-10-01,2021-01-01
West Gear,1128299,2020-04-22,West,Colorado,Denver,Women's Street Footwear,67.0,161,1079.0,593.0,Online,2020-04-01,2020-01-01
Kohl's,1189833,2021-01-15,Midwest,Montana,Billings,Men's Street Footwear,44.0,161,708.0,418.0,Online,2021-01-01,2021-01-01
Sports Direct,1197831,2021-04-02,South,Tennessee,Knoxville,Women's Apparel,24.0,161,386.0,263.0,Online,2021-04-01,2021-01-01
Sports Direct,1197831,2021-04-18,South,Tennessee,Knoxville,Women's Athletic Footwear,37.0,161,596.0,387.0,Online,2021-04-01,2021-01-01
West Gear,1185732,2021-03-08,Northeast,New York,Albany,Women's Street Footwear,33.0,161,531.0,191.0,Online,2021-03-01,2021-01-01
West Gear,1185732,2021-03-08,Northeast,New York,Albany,Women's Apparel,43.0,161,692.0,415.0,Online,2021-03-01,2021-01-01
West Gear,1185732,2021-05-08,Northeast,New York,Albany,Men's Athletic Footwear,53.0,161,853.0,401.0,Online,2021-05-01,2021-01-01
Kohl's,1185732,2021-11-11,West,Wyoming,Cheyenne,Women's Apparel,55.0,161,886.0,345.0,Online,2021-11-01,2021-01-01
West Gear,1128299,2021-06-17,South,Louisiana,New Orleans,Women's Athletic Footwear,82.0,161,1320.0,726.0,Online,2021-06-01,2021-01-01
Foot Locker,1128299,2021-08-23,West,Arizona,Phoenix,Men's Athletic Footwear,57.0,161,918.0,459.0,Online,2021-08-01,2021-01-01
Foot Locker,1128299,2021-09-24,West,Arizona,Phoenix,Men's Athletic Footwear,45.0,161,725.0,384.0,Online,2021-09-01,2021-01-01
West Gear,1185732,2021-12-09,Midwest,Ohio,Columbus,Women's Street Footwear,59.0,161,950.0,494.0,Online,2021-12-01,2021-01-01
Sports Direct,1185732,2021-08-14,Northeast,Massachusetts,Boston,Men's Street Footwear,50.0,161,805.0,354.0,Online,2021-08-01,2021-01-01
Kohl's,1189833,2021-03-10,West,California,San Francisco,Women's Athletic Footwear,41.0,160,656.0,321.0,Online,2021-03-01,2021-01-01
West Gear,1128299,2020-01-14,West,Nevada,Las Vegas,Men's Street Footwear,43.0,160,688.0,378.0,Online,2020-01-01,2020-01-01
West Gear,1128299,2020-06-13,West,Washington,Seattle,Men's Street Footwear,68.0,160,1088.0,479.0,Online,2020-06-01,2020-01-01
Foot Locker,1185732,2020-11-22,Midwest,Minnesota,Minneapolis,Men's Street Footwear,49.0,160,784.0,368.0,Online,2020-11-01,2020-01-01
Kohl's,1189833,2021-02-20,Midwest,Montana,Billings,Men's Street Footwear,44.0,160,704.0,394.0,Online,2021-02-01,2021-01-01
Kohl's,1189833,2021-02-21,Midwest,Montana,Billings,Men's Athletic Footwear,49.0,160,784.0,337.0,Online,2021-02-01,2021-01-01
Amazon,1185732,2021-05-20,West,Alaska,Anchorage,Men's Street Footwear,59.0,160,944.0,472.0,Online,2021-05-01,2021-01-01
Sports Direct,1128299,2021-03-16,Southeast,Florida,Orlando,Men's Street Footwear,46.0,160,736.0,302.0,Online,2021-03-01,2021-01-01
West Gear,1185732,2021-05-08,Northeast,New York,Albany,Women's Street Footwear,49.0,160,784.0,282.0,Online,2021-05-01,2021-01-01
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Women's Athletic Footwear,67.0,160,1072.0,536.0,Online,2021-12-01,2021-01-01
Foot Locker,1185732,2021-07-17,Midwest,Missouri,St. Louis,Women's Apparel,41.0,160,656.0,400.0,Online,2021-07-01,2021-01-01
